content,sentiment
ignores questions on sponsorship fees received from shell no surprises httpstcostcbucdhz,disgust
oh you wont get ed to intervene he hasnt with library cuts,disgust
it should work the link is ok on my browser perhaps its the xrated content,disgust
i ve not found the answer to my question to sir nicholas,disgust
i know so disgusting should be ashamed,disgust
no they look like silly putty,disgust
i was at a friends place for lunch and she fell ill and vomited,disgust
the smell of garlic in rushhour bus,disgust
i feel disgust at people lying it means that they say one thing to one person and the same thing in another way to another person and this makes people quarrel among themselves,disgust
i feel disgusted at people who talk negatively about a person without knowing the person well,disgust
i would classify subjectively a ceain gesture or the way of talking of a person as disgusting or inacceptable,disgust
the same as in anger,disgust
this is an everyday feeling many situational events causes are unclean and diy environment illiteracy povey and neglect of human resources disgust at the lack of perception on the pa of us educated few for the lack of drive and drive towards their redemption,disgust
when i see that the toilet is unclean,disgust
when mix was coming from column for several days,disgust
when some people act very impoant in any situation,disgust
years ago i served in the army once a collegue denounced me because of a delict which is usually committed i was arrested for days i still detest this man,disgust
letter words on a tv programme roche while we were enteaining conservative relations who wanted to see the first episode,disgust
a group of youngsters dressed in fads talked foul language on a bus they also insulted the pedestrians on the road and were impolite to the passengers of the bus,disgust
a bad smelling cucumber,disgust
a boyfriend with whom i split up with came over to a friends house where i was visiting with a male friend in a confrontation in another room he tried to find out if i was aroused by my friend by feeling my pas,disgust
a brother from one of the christian fellowship often phoned me and talked to me for half an hour or more however there was nothing impoant in the conversation and i found the person very disgusting,disgust
a ceain girl asked me what my major was and when i told her that it was pa she staed criticizing it saying i hate that course she just shows off in front of other people,disgust
a child told me she had been sexually abused by her stepfather i only knew the child and had not come into contact with either parent i tried to do what was best for the child the event and the stepfather disgusted me,disgust
a classmate answered accidentally the call of nature in the class during a tough mathematics examination,disgust
a close friend took pa in a racist violent action,disgust
a colleague and i were sitting on a bench next to an old man in a shopping centre the old man coughed and spluttered somewhat then with his fingers removed the resultant phlegm and mucous from his mouth and transferred it onto the armrest of the bench,disgust
a colleague of mine asked a lecturer to put him a higher mark in order to keep his good mards and thus to continue getting a scholarship for an excellent grade,disgust
a condition in which i was disgusted followed when i lost money on my way home from the college,disgust
a diy person smelling bad and unknown laying on me,disgust
a drunk man attacked his wife and wanted to humiliate her by insulting her then he turned violent and staed to beat her in front of her child she left it happen without saying a word in order not to make things worse i watched the scene and tried to calm the man but without success just because he was stronger we had to comply from that day i detested him,disgust
a drunk man bumped into me and wanted to grip me founately i was able to break loose,disgust
a drunk man had fallen in the street and he was shouting obscene words,disgust
a drunk walked out in front of a car at night both lower legs were broken his shoe was thrown about yards after the accident,disgust
a drunkard fell staed bleeding and wet himself disgust that turned into sadnessunpleasantness,disgust
a drunken man forced me to kiss him,disgust
a fellow student who seemed very nice later on proved to be a slimy fellow towards a professor,disgust
a female friend was violently ill on the return journey from a wedding reception we attended getting her out of the car when home took quite a while,disgust
a few days after i had finished the relationship with my boyfriend we had a quarrel then he hit me at that moment i found him disgusting,disgust
a few days ago i saw two dandy girls of my age i disliked their clothes and their way of doing,disgust
a few days back i was waiting for the bus at the bus stop before getting into the bus i had prepared the exact amount of coins to pay for the bus fair and when i got into the bus i put these coins into the box meant to collect the bus fair i thought that i had paid and wanted to get inside however the bus driver called me and asked me in an impolite way if the coins were stuck at the opening of the box he had not seen me paying and there wasnt a stack of coins in the box i could not understand this and the driver kept questioning me he made me feel angry and at last i inseed a dollar coin in the box just to get away from him later i found that i had forgotten a few coins in my pocket and had not paid enough for the fair the first time after i had entered the bus i could still hear him scolding me and i felt disgusted,disgust
a few days back i walked on a heap of faeces while walking on the road i got goose flesh because of this,disgust
a film were a woman was attacked and raped one did not see the worst but it had the desired effect very strong,disgust
a friend and a girlfriend went to rome for days with their class when they were back home i heard people tell strange stories about my friend and that girlfriend,disgust
a friend had a quarrel with the mother of her boyfriend because she and her friend decided to go and live together she needed money for removal then she made a great effo to reconcile,disgust
a friend of mine came to see me when he was quite drunk,disgust
a friend of mine goes out with this guy she sleeps with him but is quite happy for him to play around as well as herself,disgust
a friend of mine had sex with someone of a different race on a winnebago trip down to usc in front of everyone all my friends embarrassed my sorority house name,disgust
a friend of mine remembered me when she needed me and did not even think about me when she did not need me,disgust
a friend of mine was telling jokes which i felt to be very disgusting especially because i was eating,disgust
a friend once reacted childishly he is yearrs old to my not responding in his favour to a request that is he asked me for some money i refused and his reaction was quite childish,disgust
a friend prepared a soup with chicken heads and invited me to eat it i saw the eyes staring at me and the tongues hanging out of the bills i was so disgusted that i felt nausea and had to leave the room,disgust
a friend told me how he managed to win the sympathy of as many people as possible he said he first listened to what they said and then he tried to only say things they would like to hear he would never express his own opinion i felt really disgusted when he told that,disgust
a friend told me that a boy wanted to get to know me at that time i felt disgusted and thought that it was a nonsense thing,disgust
a friend unjustly put the blame on me to relieve his conscience and also spread lies for the same purpose,disgust
a friend was assaulted by a young man on her way home,disgust
a friends boyfriend treated her very badly let her serve him provoked her and just utilized her,disgust
a gathering of a social spos club at which they proceeded to show pornographic videos and then afterwards when most people had had quite a bit to drink carried on in a very degrading unmoral manner especially females exposing and flaunting themselves with no shame or embarassment,disgust
a gigantic spider climbed over my face and what is more in my own flat,disgust
a girl i do not like kept coming to me and talking to me,disgust
a girl who also hires a room in the house where i live always tries to make a quarrel with everyone available she disgusts me,disgust
a girl with whom i was staying having sex with a person for about nights running and then with his brother the following night and back again,disgust
a girl who is a friend of mine was having an affair with a boy who is also a friend of mine i got to know that this girl was also seeing another guy later on she just broke off with this friend of mine without giving any explanations this made him sad and depressed and i felt disgust for this girl,disgust
a girlfriend of mine behaves in a very childish way she does not like my going to see a friend who has been introduced to me by this same friend of mine i would like to be friends with both of them but she does not like this as she is possessive and would like me to be close only to her,disgust
a lecturer in great detail spoke about his sexual experiences,disgust
a lie on the pa of a person close to me,disgust
a man sexually aggressed a small girl in the bus but the girl did not dare to speak out,disgust
a man spat on the wall of a house,disgust
a man tried to have sexual intercourse with me though i had communicated my unwillingness later on i felt disgust at that person as well as myself because i had paly submitted,disgust
a man was unfair to a girlfriend of mine,disgust
a man whom i like was drunk and tried to molest me,disgust
a mother who shouts at her child for nothing,disgust
a nightmare i was dreaming about bloodsuckers which i tried to shake off from my body they are everywhere they get glued they suck and there are a lot of them i panic,disgust
a person i know who tells lies and so pretending to be better than she is,disgust
a person that eat half of a cockroach in a cake without knowing it,disgust
a person whom i thought to be honest took and spend the little money that i had and i had no way of getting any money in the few following months,disgust
a piece of work was marked as bad by the teachers i and some fellow students didnt agree with their vague criticism i felt myself taken in by the teachers and felt disgust,disgust
a pig in the well from which we drink,disgust
