content,sentiment
never hu people who love you a lot because they wont hu you back but theyll probably have no choice but to leave you forever,sad
dont expect me to tell you what you did wrong if you cant figure it out yourself then you are not ready to correct itcos you did not know it was a mistake,sad
i preferred walking away than fighting for you not because you were not woh fighting for but because you never asked me to stay,sad
moving forward in life isnt the hard pa its leaving behind someone you thought was meant to move forward with you,sad
never cry for anyone in your life because those you cry for dont deserve your tears and those who are deserving will never let you cry,sad
seven billion people on this planet and i have friends,sad
i know you wont come back but my hea will take life long time to accept this,sad
when you are in a habit to talk someone daily a day without talking to them feels like a year passed,sad
value the person when they are alive dont cry for them when they are dead,sad
a magic of songs and sound when you are happy you just listen the song but when you are sad you understand the song,sad
behind every fliy boy there is a girl who left him alone with no reasons,sad
i dont get tired of loving you i just get tired of waiting assuming hearing lies saying sorry and getting hu,sad
the hardest thing to do is watch the person you love love someone else,sad
i will never stop caring but if you decide to push me away i will go,sad
it hus when you have someone in your hea but cant have in your arms,sad
the more you show your true feelings the more people find ways to hu you,sad
its amazing how someone break your hea but you still love them with all little broken pieces,sad
to the less founate life is nothing but a tragedy,sad
countries islands seas billion people and im single,sad
its sad when you realize you arent as impoant to someone as you thought you were,sad
some battles have to be fought alonesome paths have to be crossed alone so never be emotionally attached with anyone you never know when you have to walk alone,sad
keep smiling and one day life will become tired of upsetting you,sad
never become a daughter of a house where theres no mother,sad
one of the biggest mistakes ive ever made was expecting my happiness from others,sad
the person who once topped the inbox now flashes in people you may know,sad
everybodys online except the one i actually want too,sad
i take words very seriously and it breaks my hea when i find out that people dont actually mean what they say,sad
that sad moment when you realize your childhood is over,sad
life seems to be running on a road without any shelter without any sign board without any destination,sad
sometimes your voice is the medicine to all my diseases,sad
the worst feeling in the world is knowing that u r no longer that impoant as u were,sad
its very eassy to say bussy when someone needs youbut its very hard to hear bussy when you need someone,sad
you dont realise how lonely you r until its the end of the day and you have a bunch of things to talk aboutbut no one to listen,sad
behind my smile is everything youll never understand,sad
no matter how hard i try no matter how many relationships i get into it will never replace the one i just lost,sad
i remember the way u used to look at me and now i notice the way u ignore me,sad
the most painful goodbyes are the ones that never said and never explained,sad
never expect things to happen its better to feel surprisedthan to feel disappointed,sad
i dont understand why i still cry for you when you dont even think about me,sad
sometimes itt not the song that makes you emotional its the people and things that come to your mind when you hear it,sad
i hate how we went from being strangers to friends to close friends to almost sumthing more to nothing,sad
i dont think you know what you are doing to me,sad
me and she makes best couple but her dad always create trouble,sad
if i had one single wish i would go back to the moment we kissed,sad
sadness is when last seen at changes to online again to last seen at without reply,sad
if distance is a solution to reduce complications i want to maintain this distance for eternity,sad
tears are the last gift of true love,sad
tired of making fake smile,sad
i didnt want to be the one to forget,sad
its funny how other people are willing to do lots of brave things for you yet you still choose someone who cant even offer you half of what others could,sad
sometimes silence is much better than talking at least it dont hu,sad
feelings dont walk away people do,sad
silence is the most powerful scream,sad
the most impoant pa of moving on is letting go,sad
if i die tomorrow u will miss me,sad
dont cry for the person who doesnt know the value of your tears,sad
i still care that s the problem,sad
please dont interrupt me while im ignoring you,sad
missing someone hus but whats hus even more is knowing that your the reason that theyre gone,sad
you get no appreciation when you are nice but people notice when you become bad,sad
people think im bad when im talking but when im quiet is when you really have to worry,sad
you will know a persons hea by the way they treat their pets,sad
it would be so much easier to dissapearsave everyone the trouble,sad
ok for those who are wondering no im not ok i have not been for a while i wont be for a long time,sad
what breaks my hea into pieces is knowing that you will forget the things that i will remember forever,sad
bruises will go away eventually even the pain that caused them will too but the memory of how it happened wont,sad
the worst feeling in the world is when you know that you both love each other but still you just cant be together,sad
i may smile and i may laugh but deep down my hea is a pain youll never guess,sad
i tell people im ok i tell myself im fine then i look in the mirror and laugh until i cry because i know it was all just a lie,sad
the more i do not talk to you does not make it any better it just makes my hea break even more everyday,sad
surrounded by many people who love mebut yet im so alonewhy is that is it because your the only one not thereli,sad
emotionallyi am donementallyi am drainedspirituallyi am deadand yet physicallyi smile,sad
you can crop me out of the pictures we took togetherbut you can never crop me out of the memories we shared,sad
one of the worst things that can happen to a person is to be forgotten by someone they will never forget,sad
if the relationship does not make you a better person then you are with the wrong person,sad
better by far you should forget and smile than that you should remember and be sad,sad
its mostly the scars that people cant see that hu the most they also take the longest to heal,sad
i wish i could escape to a place somewhere where the feelings and thoughts wont be able to haunt me,sad
it took seeing what my life is like without you to know that i want you in it im sorry for ever huing you,sad
every time i take a step forward in my life i get pushed two steps backam i walking backwards,sad
sometimes what you dont say is more powerful than what you do say,sad
i smile during the day i cry during the night just hoping the pain will go away,sad
why is it that when we think we are finally happy we want to break down and cry because we think we dont deserve it,sad
i can hold back my tears and hide them with a smile but i cant hide that hole in my hea,sad
one day you may realise you lost a diamond while you were busy collecting stones,sad
if love is the best feeling in the world then why does my hea hu so much,sad
i like to pretend that i am okay because i do not wanna annoy people with my problems,sad
its not always the tears that measure the pain sometimes its the smile we fake,sad
just when you think things are going smoothly and couldnt get no better the devil jumps in and screws everything up,sad
i guess what they say is true everything happens for a reason,sad
the longer im alone the more i want it to stay that way,sad
its funny how the ones you look up to the most can be the ones to hu you the most,sad
my actions are before blinded eyes my voice falls on deafened ears,sad
surrounded by many people who love mebut yet im so alonewhy is that is it because your the only one not there,sad
dont be sad because its over smile because it happened,sad
just because i am smiling doesnt mean my life is perfect,sad
my life isnt perfect but i am thankful for everything i have,sad
the sad moment when you find an old conversation between you and someone you dont talk to anymore,sad
a single moment of misunderstanding is so poisonous that it makes us forget the hundred lovable moments spent together within a minute,sad
too much trust sometimes kills you,sad
my weakness is that i care too much,sad
i cant trust someone who is friends with everyone,sad
i knw u hv blocked me but still i luv to watch ur blank profile,sad
i think im afraid to be happy because whenever i get too happy something bad always happens,sad
if you push me away i promise you you wont find me where you left me my hea is big but not big enough to deal with people who decide to love me when its convenient for them,sad
a lie is a lie no matter how big or how small,sad
sometimes it feels so good to just sit by yourselfrelax and not talk to anyone,sad
im sorry i was not good enough but i tried to be,sad
sorry hea but i am listening to my brain this time i know better,sad
i really care about u but u care about someone else who never care about u,sad
ill never hu you what a lie,sad
more expectations break relations,sad
sometimes when i say im okay i want someone to look me in the eyes hug me tight and say i know youre not,sad
i feel like everything i do is wrong,sad
sometimes two people have to fall apa to realize how much they need to fall back together,sad
the smile on my face doesnt mean my life is perfect,sad
its sad to be happy alone,sad
i hope we meet again,sad
for some moments in life there are no words,sad
u cant switch off ur feelings just because other person did,sad
he is not really mine we are not really together but for what its woh he is and will always be my sweetest whatever,sad
i can feel you forgetting me,sad
im loyal but it always seems like im loyal to the wrong people,sad
i dont regret my past i just regret the time i have wasted with the wrong people,sad
sadly the only way some people will learn to appreciate you is by losing you,sad
i dont hate you i hate what you have done,sad
seriously boys dont understand how much a little word or move can affect a girl,sad
the truth is im still waiting for you till now,sad
from outside i am smiling but it does not mean i am happy,sad
bad relationship change good people,sad
every time i trust somebody they show me why i shouldnt,sad
things change but the way you made me feel that never will,sad
you can miss someone who died you can miss someone who moved away but the worst is when you miss someone you see everyday,sad
every day i am acting like i am okay but youll never know the truth,sad
i like to listen to sad music when im sad to make me double sad,sad
dont promise when youre happy dont reply when youre angry and dont decide when youre sad,sad
the hea was made to be broken,sad
i feel crappy insidelike something just broke,sad
me and my hea we got issues dont know if i should hate you or miss you,sad
one of the worst mistakes you will do is walking away from the person who actually stood there and waited for you,sad
i will wait till the day i can forget you or the day you realize you cant forget me,sad
you think i have changed truth is you never really knew the real me,sad
real feelings dont just go away,sad
why am i so afraid to lose you when youre not even mine,sad
ive lost somebody who wasnt even mine,sad
sometimes you have to smile to hold back the tears,sad
people say follow your heabut which way do you go when your hea breaks into two,sad
when words fail tears speak,sad
your boyfriend should treat you like his princess not like his bitch,sad
i hate the fact that things between us never got better,sad
smile and no one will see how broken you are inside,sad
one day youll finally see your biggest mistake was not loving me,sad
i hate being jealous when i know i should not be,sad
i still love you thats a fact but a million apologies cant bring me back,sad
sometimes you have to know when to stop hoping,sad
i wish you werent in my dreams,sad
the sad pa isnt that we never talk its that we used to talk everyday,sad
its so hard to forget someone that you shared so many memories with,sad
sadness does not come from bad circumstances it comes from bad thoughts,sad
dont play with my hea if you have no intentions for a serious relationship,sad
you will find a girl prettier than me smaer than me and funnier than me but you will never find a girl just like me,sad
thanks for texting me first and then ignoring my reply,sad
i need something more to hold then just a phone,sad
no one has ever loved anyone the way everyone wants to be loved,sad
its funny how a person can hu you so much when you were expecting it in the first place,sad
i fell for you but you didnt catch me,sad
