content,sentiment
wants to know how the hell i can remember words to songs from years ago but cant remember what i went into the next room for,happy
love is a long sweet dream marriage is an alarm clock,happy
the world could be amazing when you are slightly strange,happy
my secret talent is getting tired without doing anything,happy
khatarnaak whatsapp status ever cant talk wife around,happy
the new way of forgetting your past is deleting your chats,happy
countries islands seas billion people and im still single,happy
available prabhu ichhaa tak,happy
life is too sho to be serious all the time so if you cant laugh at yourself call me i will laugh at you,happy
a really cool feature of the nano they dont tell you about is that even beggars ignore you at a traffic signal relaxing facility,happy
you love flowers but you cut them you love animals but you eat them you tell me you love me so now im scared,happy
all person b very careful when u step out today n tomorrow they r looking out for bakras cant afford to lose any of u,happy
men have feelings too for example we feel hungry,happy
horrible things in life slow internet slow internet slow internet,happy
my teacher today gave minute speech about not wasting time,happy
women loves shoes bcz no matter how much whatever they eat the shoe always fits p,happy
never laugh at your wifes choices you are one of them,happy
thank god there is no hindi version of whatsapp otherwise last seen would be antim darshan,happy
hey there im using my brain,happy
i put my hea n soul into my work and lost my brain in d process,happy
faces u make on d toiletoo,happy
getting married is a lot like getting into a tub of hot water after you get used to it it aint so hot,happy
sorry about those texts i sent you last night my phone was drunk,happy
when a bird hits your windshield have you ever wondered if god is playing angry birds with you,happy
taking your ex back is like going to the junk yard and buying back your own crap,happy
i dont know why i keep a plastic bag at home full of plastic bags,happy
i work out everyday i do situp every morning when i wake up,happy
one wise guy invented whatsapp and his wife added last seen feature,happy
i wish i had google in my mind and antivirus in my hea,happy
x billion people china,happy
youre beautiful until your photoshop day trial has gone,happy
when you wait for a waiter in a restaurant arent you a waiter,happy
i love my six packs so much i protect it with a layer of fat,happy
warning i know karate and some other words,happy
i wish my parents were like google they should understand me even before i complete,happy
watching pk after pk,happy
a man says a lot of things in summer he doesnt mean in winter,happy
i wonder what happens when doctors wife eats an apple a day,happy
study economicswhen youre unemployed at least youll know why,happy
hey there im using whatsappstatuscom,happy
women gods version of rubik cube,happy
tum mujhe hmmm do main tumhe k dunga,happy
si unit of ignorance online,happy
hey there im using my parents,happy
dont use bathroom in your dream its a setup,happy
there are types of people in the world vegetarian nonvegetarian tuesday saturday,happy
my laziness is like when i lie down it becomes infinity,happy
accept that some days you are the pigeon and some days you are the statue,happy
whatsapp free hai main nahi,happy
